Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Bean
Origin",Flavour Rating
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3,"Criollo, Trinitario",Nicaragua,Satisfactory
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3,Trinitario,Vietnam,Satisfactory
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3,Forastero,Tanzania,Satisfactory
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,3, ,Nicaragua,Satisfactory
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3, ,Peru,Satisfactory
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2, ,Bolivia,Dissapointing
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2, ,Peru,Dissapointing
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,3, ,Ecuador,Satisfactory
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2, ,Venezuela,Dissapointing
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3,Trinitario,Dominican Republic,Satisfactory
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3, ,Bolivia,Satisfactory
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3, ,Bolivia,Satisfactory
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3, ,Peru,Satisfactory
Amano,Morobe,725,2011,70%,U.S.A.,4, ,Papua New Guinea,Premium
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Amano,Guayas,470,2010,70%,U.S.A.,4, ,Ecuador,Premium
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela,Satisfactory
Amano,Montanya,363,2009,70%,U.S.A.,3, ,Venezuela,Satisfactory
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,3, ,Indonesia,Satisfactory
Amano,Madagascar,129,2007,70%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Amano,Cuyagua,147,2007,70%,U.S.A.,3, ,Venezuela,Satisfactory
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,Praiseworthy
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3,Forastero,Ghana,Satisfactory
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,3, ,Ecuador,Satisfactory
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,3, ,Ecuador,Satisfactory
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3,Forastero,Ghana,Satisfactory
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3, ,Peru,Satisfactory
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3,Trinitario,Peru,Satisfactory
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize,Satisfactory
Ambrosia,Madagascar,1494,2015,66%,Canada,3,Trinitario,Madagascar,Satisfactory
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3, ,Dominican Republic,Satisfactory
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3, ,Papua New Guinea,Satisfactory
Ambrosia,Venezuela,1498,2015,70%,Canada,3, ,Venezuela,Satisfactory
Ambrosia,Peru,1498,2015,68%,Canada,3, ,Peru,Satisfactory
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,Praiseworthy
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela,Premium
Amedei,Nine,111,2007,75%,Italy,4,Blend,Unspecified,Premium
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela,Elite
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador,Satisfactory
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica,Satisfactory
Amedei,Grenada,123,2007,70%,Italy,3,Trinitario,Grenada,Satisfactory
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela,Praiseworthy
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar,Premium
Amedei,Trinidad,129,2007,70%,Italy,3,Trinitario,Trinidad,Satisfactory
Amedei,Toscano Black,170,2007,63%,Italy,3,Blend,Unspecified,Satisfactory
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend,Unspecified,Elite
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend,Unspecified,Premium
AMMA,Catongo,1065,2013,75%,Brazil,3,Forastero (Catongo),Brazil,Satisfactory
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,3,Forastero (Parazinho),Brazil,Satisfactory
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil,Praiseworthy
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil,Premium
Anahata,Elvesia,1259,2014,75%,U.S.A.,3, ,Dominican Republic,Satisfactory
Animas,Alto Beni,1852,2016,75%,U.S.A.,3, ,Bolivia,Satisfactory
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar,Satisfactory
Ara,Chiapas,1379,2014,72%,France,2, ,Mexico,Dissapointing
Ara,Equateur,1379,2014,75%,France,3, ,Ecuador,Satisfactory
Ara,Trincheras,1379,2014,75%,France,3, ,Venezuela,Satisfactory
Arete,San Juan,1724,2016,70%,U.S.A.,3,Trinitario,Trinidad,Satisfactory
Arete,Kokoa Kamili,1724,2016,70%,U.S.A.,3.75, ,Tanzania,Praiseworthy
Arete,Tien Giang,1900,2016,73%,U.S.A.,3,Trinitario,Vietnam,Satisfactory
Arete,Hacienda Victoria,1904,2016,70%,U.S.A.,3, ,Ecuador,Satisfactory
Arete,Costa Esmeraldas,1904,2016,70%,U.S.A.,3, ,Ecuador,Satisfactory
Arete,Lachua,1904,2016,70%,U.S.A.,3, ,Guatemala,Satisfactory
Arete,Rugoso,1904,2016,70%,U.S.A.,3.75, ,Nicaragua,Praiseworthy
Arete,"La Masica, FHIA",1908,2016,70%,U.S.A.,3, ,Honduras,Satisfactory
Arete,"Coto Brus, Terciopelo",1908,2016,70%,U.S.A.,4, ,Costa Rica,Premium
Arete,Phantom,1924,2016,70%,U.S.A.,4,Forastero (Nacional),Peru,Premium
Arete,Elvesia,1928,2016,70%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Arete,Matasawalevu,1928,2016,70%,U.S.A.,3, ,Fiji,Satisfactory
Arete,Lam Dong,1928,2016,73%,U.S.A.,3, ,Vietnam,Satisfactory
Arete,Fazenda Camboa,1534,2015,70%,U.S.A.,3, ,Brazil,Satisfactory
Arete,Nacional,1534,2015,68%,U.S.A.,3,Forastero (Nacional),Peru,Satisfactory
Arete,"Puerto Quito, heirloom",1534,2015,70%,U.S.A.,3.75,Forastero (Nacional),Ecuador,Praiseworthy
Arete,Oko Caribe,1598,2015,70%,U.S.A.,3, ,Domincan Republic,Satisfactory
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize,Praiseworthy
Arete,Chuno,1598,2015,70%,U.S.A.,4,"Criollo, Trinitario",Nicaragua,Premium
Arete,Fazenda Camboa,1602,2015,75%,U.S.A.,3, ,Brazil,Satisfactory
Arete,Guatemala,1602,2015,70%,U.S.A.,3, ,Guatemala,Satisfactory
Arete,Camino Verde,1602,2015,75%,U.S.A.,3, ,Ecuador,Satisfactory
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3,Trinitario,Trinidad,Satisfactory
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72%,U.K.,3.75, ,Colombia,Praiseworthy
Artisan du Chocolat,Haiti,729,2011,72%,U.K.,4, ,Haiti,Premium
Artisan du Chocolat,Panama,745,2011,72%,U.K.,3, ,Panama,Satisfactory
Artisan du Chocolat,Venezuela,486,2010,100%,U.K.,2, ,Venezuela,Dissapointing
Artisan du Chocolat,Jamaica,531,2010,72%,U.K.,3.75,Trinitario,Jamaica,Praiseworthy
Artisan du Chocolat,Costa Rica,600,2010,72%,U.K.,3, ,Costa Rica,Satisfactory
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72%,U.K.,3,Trinitario,Vietnam,Satisfactory
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3, ,Indonesia,Satisfactory
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75%,U.K.,2,"Criollo, Trinitario",Venezuela,Dissapointing
Artisan du Chocolat,Java,355,2009,72%,U.K.,3,Trinitario,Indonesia,Satisfactory
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,2, ,Brazil,Dissapointing
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3,"Criollo, Trinitario",Madagascar,Satisfactory
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru,Satisfactory
Artisan du Chocolat,Dominican Republic,363,2009,72%,U.K.,3,Trinitario,Dominican Republic,Satisfactory
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo,Praiseworthy
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,3,Trinitario,Colombia,Satisfactory
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania,Praiseworthy
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania,Praiseworthy
Askinosie,Cortes,661,2011,70%,U.S.A.,3.75,Trinitario,Honduras,Praiseworthy
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines,Praiseworthy
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2,Trinitario,Mexico,Dissapointing
Askinosie,San Jose del Tambo,175,2007,70%,U.S.A.,3,Forastero (Arriba),Ecuador,Satisfactory
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3, ,Unspecified,Satisfactory
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3, ,Papua New Guinea,Satisfactory
Bahen & Co.,Sambirano,995,2012,70%,Australia,3,Trinitario,Madagascar,Satisfactory
Bahen & Co.,Bahia,999,2012,70%,Australia,2, ,Brazil,Dissapointing
Bahen & Co.,Houseblend,999,2012,70%,Australia,2,Blend,Unspecified,Dissapointing
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,3, ,Peru,Satisfactory
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3, ,Peru,Satisfactory
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3, ,Brazil,Satisfactory
Bar Au Chocolat,Maranon Canyon,1295,2014,70%,U.S.A.,4,Forastero (Nacional),Peru,Premium
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3, ,Dominican Republic,Satisfactory
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3, ,Mexico,Satisfactory
Bar Au Chocolat,Sambirano,983,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy
Baravelli's,single estate,955,2012,80%,Wales,3, ,Costa Rica,Satisfactory
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3, ,Domincan Republic,Satisfactory
Batch,Brazil,1868,2016,70%,U.S.A.,3.75, ,Brazil,Praiseworthy
Batch,Ecuador,1880,2016,65%,U.S.A.,3, ,Ecuador,Satisfactory
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3, ,Malaysia,Satisfactory
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3, ,Malaysia,Satisfactory
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,3, ,Brazil,Satisfactory
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,3, ,Domincan Republic,Satisfactory
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,3, ,Ecuador,Satisfactory
Beehive,Ecuador,1788,2016,90%,U.S.A.,3, ,Ecuador,Satisfactory
Belcolade,Costa Rica,586,2010,64%,Belgium,3, ,Costa Rica,Satisfactory
Belcolade,Papua New Guinea,586,2010,64%,Belgium,3, ,Papua New Guinea,Satisfactory
Belcolade,Peru,586,2010,64%,Belgium,3, ,Peru,Satisfactory
Belcolade,Ecuador,586,2010,71%,Belgium,3, ,Ecuador,Satisfactory
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70%,U.S.A.,3,"Criollo, Trinitario",Tanzania,Satisfactory
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3, ,Bolivia,Satisfactory
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3, ,Domincan Republic,Satisfactory
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,3,Trinitario,Belize,Satisfactory
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize,Satisfactory
Belyzium,Belize south,1768,2016,83%,Germany,3,Trinitario,Belize,Satisfactory
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3,Trinitario,Cuba,Satisfactory
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3,Criollo,Venezuela,Satisfactory
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3,Criollo,Venezuela,Satisfactory
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador,Premium
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia,Premium
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72%,Belgium,3.75,Trinitario,Madagascar,Praiseworthy
Bernachon,Nature,797,2012,55%,France,3, ,Unspecified,Satisfactory
Beschle (Felchlin),Madagascar,636,2011,64%,Switzerland,3,Trinitario,Madagascar,Satisfactory
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela,Satisfactory
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3, ,Venezuela,Satisfactory
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4, ,Ecuador,Premium
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3,Trinitario,Venezuela,Satisfactory
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3,Criollo (Porcelana),Venezuela,Satisfactory
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3, ,Indonesia,Satisfactory
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3, ,Venezuela,Satisfactory
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2, ,Nicaragua,Dissapointing
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2, ,Costa Rica,Dissapointing
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2, ,Costa Rica,Dissapointing
Bisou,Belize,1486,2015,86%,U.S.A.,3,Trinitario,Belize,Satisfactory
Bittersweet Origins,Ghana,963,2012,72%,U.S.A.,3,Forastero,Ghana,Satisfactory
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3, ,Indonesia,Satisfactory
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali",Praiseworthy
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,3, ,Indonesia,Satisfactory
Bittersweet Origins,"Sambirano, 2009",565,2010,70%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela,Satisfactory
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3, ,Dominican Republic,Satisfactory
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3, ,Dominican Republic,Satisfactory
Bittersweet Origins,Sambirano,423,2009,75%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Bittersweet Origins,Sambirano,233,2008,71%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3, ,Panama,Satisfactory
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Bittersweet Origins,Ankasa,256,2008,70%,U.S.A.,3,Forastero,Ghana,Satisfactory
Black Mountain,La Red,256,2008,70%,U.S.A.,3, ,Dominican Republic,Satisfactory
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,3,Trinitario,Venezuela,Satisfactory
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3, ,Nicaragua,Satisfactory
Black River (A. Morin),Blue Mountain Region,1331,2014,70%,U.K.,3,Trinitario,Jamaica,Satisfactory
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3,Forastero,Congo,Satisfactory
Blanxart,Organic Dark,322,2009,72%,Spain,3, ,Unspecified,Satisfactory
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3,Trinitario,Madagascar,Satisfactory
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,3, ,Guatemala,Satisfactory
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3, ,Tanzania,Satisfactory
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3, ,Dominican Republic,Satisfactory
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3, ,Guatemala,Satisfactory
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar,Praiseworthy
Bonnat,Selva Maya,1912,2016,75%,France,3, ,Mexico,Satisfactory
Bonnat,Kaori,1339,2014,75%,France,4, ,Brazil,Premium
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3, ,Dominican Republic,Satisfactory
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",Praiseworthy
Bonnat,Surfin,1418,2014,65%,France,3.75, ,"Venez,Africa,Brasil,Peru,Mex",Praiseworthy
Bonnat,Maragnam,1038,2013,75%,France,3, ,Brazil,Satisfactory
Bonnat,Gabon,1042,2013,75%,France,3, ,Gabon,Satisfactory
Bonnat,Cuba,629,2011,75%,France,3,Trinitario,Cuba,Satisfactory
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3, ,Peru,Satisfactory
Bonnat,Piura Blanco,629,2011,75%,France,3,Forastero (Nacional),Peru,Satisfactory
Bonnat,Libanio,629,2011,75%,France,3.75, ,Brazil,Praiseworthy
Bonnat,Haiti,629,2011,75%,France,4, ,Haiti,Premium
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar,Premium
Bonnat,Juliana,672,2011,75%,France,3, ,Brazil,Satisfactory
Bonnat,Jamaique,761,2011,75%,France,3,Trinitario,Jamaica,Satisfactory
Bonnat,Ivory Coast,331,2009,75%,France,3, ,Ivory Coast,Satisfactory
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,3,Criollo,Peru,Satisfactory
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico,Satisfactory
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico,Satisfactory
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo (Porcelana),Venezuela,Premium
Bonnat,Equateur,123,2007,75%,France,2,Forastero (Arriba),Ecuador,Dissapointing
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean,Praiseworthy
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4, ,Venezuela,Premium
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela,Premium
Bonnat,Madagascar,75,2006,75%,France,4,Trinitario,Madagascar,Premium
Bonnat,One Hundred,81,2006,100%,France,1, ,Unspecified,Unpleasant
Bonnat,Ceylan,81,2006,75%,France,3, ,Sri Lanka,Satisfactory
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela,Premium
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77%,Ecuador,3,Forastero (Arriba),Ecuador,Satisfactory
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100%,Ecuador,1,Forastero (Arriba),Ecuador,Unpleasant
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,3,Trinitario,Belize,Satisfactory
Bowler Man,Conacado,1271,2014,70%,U.S.A.,3, ,Dominican Republic,Satisfactory
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3,Criollo,Venezuela,Satisfactory
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75, ,Nicaragua,Praiseworthy
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75, ,Dominican Republic,Praiseworthy
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize,Praiseworthy
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela,Premium
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3,Trinitario,Dominican Republic,Satisfactory
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3, ,Ecuador,Satisfactory
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3,Forastero,Ghana,Satisfactory
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3,Trinitario,Venezuela,Satisfactory
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3, ,Dominican Republic,Satisfactory
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3, ,Dominican Republic,Satisfactory
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3, ,Guatemala,Satisfactory
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,3, ,Madagascar,Satisfactory
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3,Trinitario,Belize,Satisfactory
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3, ,Madagascar,Satisfactory
Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3,Trinitario,Jamaica,Satisfactory
Bright,Somia Plantation,1231,2014,72%,Australia,3,Trinitario,Madagascar,Satisfactory
Bright,Marabel Farms,1231,2014,70%,Australia,3, ,Dominican Republic,Satisfactory
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3, ,Ecuador,Satisfactory
Bright,Gran Couva,1235,2014,68%,Australia,3,Trinitario,Trinidad,Satisfactory
Britarev,Ecuador,1638,2015,70%,Russia,3, ,Ecuador,Satisfactory
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,3, ,Dominican Republic,Satisfactory
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3,Trinitario,Trinidad,Satisfactory
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3, ,Ecuador,Satisfactory
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3,Trinitario,Belize,Satisfactory
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3,Blend,Unspecified,Satisfactory
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2, ,Ecuador,Dissapointing
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2, ,Puerto Rico,Dissapointing
